asset,size,bytes,exists,reference_count,page_count,surfaces,pages
/assets/products/ai-ugc-generation-05.mp4,5.0 MB,5205670,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-12.mp4,4.9 MB,5177821,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-03.mp4,4.7 MB,4963767,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/wayve-generation-optimized-14.mp4,4.7 MB,4952266,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/wayve-generation-optimized-04.mp4,4.7 MB,4941223,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/wayve-generation-optimized-08.mp4,4.7 MB,4910538,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ai-ugc-generation-02.mp4,4.5 MB,4701617,True,2,2,"live-html, runtime-js",pages/products/ai-native-ugc.html; scripts/ui-tweaks.js
/assets/products/ai-ugc-generation-10.mp4,4.4 MB,4645700,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-15.mp4,4.4 MB,4645420,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-13.mp4,4.4 MB,4572933,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/embedded-ai-ads-generation-13.mp4,4.3 MB,4552902,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/darwin_ads-hq.webm,4.1 MB,4337457,True,2,1,live-html,index.html
/assets/products/ai-ugc-generation-14.mp4,4.1 MB,4299250,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-01.mp4,4.1 MB,4295773,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-18.mp4,4.0 MB,4222776,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/wayve-generation-optimized-05.mp4,4.0 MB,4209239,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ad-gens-new-02.mp4,3.5 MB,3719956,True,1,1,live-html,pages/products/darwin.html
/assets/products/embedded-ai-ads-generation-10.mp4,3.5 MB,3719956,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/embedded-ai-ads-generation-01-download-replacement.mp4,3.5 MB,3623939,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/brand_avatars-hq.webm,3.3 MB,3505444,True,2,1,live-html,index.html
/assets/products/embedded-ai-ads-generation-11.mp4,3.2 MB,3381545,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/ai-ugc-generation-23.mp4,3.0 MB,3187096,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/wayve-generation-optimized-16.mp4,3.0 MB,3136484,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ai-ugc-generation-16.mp4,2.9 MB,3070084,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/embedded-ai-ads-generation-12.mp4,2.7 MB,2841670,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/embedded-ai-ads-generation-13-strictly-preserve.mp4,2.7 MB,2841670,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/wayve-generation-optimized-17.mp4,2.5 MB,2662165,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ad-gens-new-03.mp4,2.4 MB,2550311,True,1,1,live-html,pages/products/darwin.html
/assets/products/embedded-ai-ads-generation-09.mp4,2.4 MB,2550311,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/ad-gens-new-19.mp4,2.3 MB,2441793,True,1,1,live-html,pages/products/darwin.html
/assets/products/embedded-ai-ads-generation-04.mp4,2.3 MB,2383985,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/wayve-generation-optimized-10.mp4,2.0 MB,2136560,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/wayve.webm,2.0 MB,2128577,True,3,2,"generated-dist, live-html",dist/products/wayve.html; index.html
/assets/products/wayve-generation-optimized-11.mp4,2.0 MB,2095246,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/wayve-generation-optimized-15.mp4,2.0 MB,2084534,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ad-gens-new-07.mp4,2.0 MB,2055636,True,1,1,live-html,pages/products/darwin.html
/assets/products/wayve-header.webm,1.9 MB,1971383,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ai-ugc-generation-06.mp4,1.8 MB,1938705,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-07.mp4,1.8 MB,1925525,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/creator_avatars-hq.webm,1.8 MB,1882645,True,2,1,live-html,index.html
/assets/products/embedded-ai-ads-generation-05.mp4,1.8 MB,1860201,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/ai-ugc-generation-17.mp4,1.5 MB,1585176,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-29.mp4,1.5 MB,1544986,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/sogni-content-video-1-1.mp4,1.4 MB,1500505,True,2,2,"live-html, runtime-js",pages/products/sogni-gtm.html; scripts/ui-tweaks.js
/assets/products/ad-gens-new-04.mp4,1.4 MB,1438938,True,1,1,live-html,pages/products/darwin.html
/assets/products/embedded-ai-ads-generation-07.mp4,1.4 MB,1438938,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/wayve-design-grid-02-optimized.mp4,1.4 MB,1428472,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ai-ugc-generation-21.mp4,1.3 MB,1406366,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ad-gens-new-06.mp4,1.3 MB,1401982,True,1,1,live-html,pages/products/darwin.html
/assets/products/embedded-ai-ads-generation-06.mp4,1.3 MB,1401982,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/ai-ugc-generation-19.mp4,1.3 MB,1396306,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-20.mp4,1.3 MB,1394487,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/darwin_studio-hq.webm,1.3 MB,1376668,True,2,1,live-html,index.html
/assets/products/ad-gens-new-17.mp4,1.3 MB,1370746,True,1,1,live-html,pages/products/darwin.html
/assets/products/embedded-ai-ads-generation-14.mp4,1.3 MB,1365926,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/pk-03.mp4,1.3 MB,1364330,True,2,1,generated-dist,dist/content/ai-native-ugc.html
/assets/products/ad-gens-new-05.mp4,1.1 MB,1202761,True,1,1,live-html,pages/products/darwin.html
/assets/products/embedded-ai-ads-generation-08.mp4,1.1 MB,1202761,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/darwin-ad-gens-6.mp4,1.1 MB,1114429,True,1,1,live-html,pages/products/darwin.html
/assets/products/ad-gens-new-15.mp4,1.1 MB,1107798,True,1,1,live-html,pages/products/darwin.html
/assets/products/opensea-generation-04.mp4,1.0 MB,1090487,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/giphy_9x16_black_TA7YjHw3n6UBOoIPXL.webm,1.0 MB,1077059,True,2,1,generated-dist,dist/products/sogni.html
/assets/products/embedded-ai-ads-generation-03.mp4,978.7 KB,1002218,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/darwin.webm,855.2 KB,875769,True,4,3,"generated-dist, live-html, runtime-js",dist/content/embedded-ads.html; pages/products/darwin-ads-gtm.html; scripts/ui-tweaks.js
/assets/products/ad-gens-new-16.mp4,811.4 KB,830829,True,1,1,live-html,pages/products/darwin.html
/assets/products/ad-gens-new-27.mp4,781.8 KB,800595,True,1,1,live-html,pages/products/darwin.html
/assets/products/darwin-design-home.mp4,768.5 KB,786972,True,2,2,"generated-dist, live-html",dist/products/darwin.html; pages/products/darwin.html
/assets/products/ad-gens-new-24.mp4,753.9 KB,771998,True,1,1,live-html,pages/products/darwin.html
/assets/products/ad-gens-new-26.mp4,740.8 KB,758550,True,1,1,live-html,pages/products/darwin.html
/assets/products/sogni-brand-grid-video-13-web.mp4,698.4 KB,715184,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/wayve-design-grid-03.mp4,692.7 KB,709281,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ad-gens-new-13.mp4,607.2 KB,621727,True,1,1,live-html,pages/products/darwin.html
/assets/products/opensea-generation-10.mp4,598.2 KB,612508,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/ad-gens-new-21.mp4,587.5 KB,601557,True,1,1,live-html,pages/products/darwin.html
/assets/products/sogni-content-video-6.mp4,555.8 KB,569137,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/opensea-generation-08.mp4,524.7 KB,537305,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/sogni-brand-grid-video-11-web.mp4,512.3 KB,524592,True,1,1,live-html,pages/products/sogni-gtm.html
